haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
U4a1d1a_16129						9.8756	8.839	10.9184	ancestor_only		
U4a1d2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1d2^	0.0				no_ci		0.0341		single_child_interpolation		
U4a1d3	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1d4	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1h	1.0	13.3705			no_ci	4.9378	4.4195		single_child_interpolation	-8.4327	63.0694439250589
U4a1h1	1.0	0.0			no_ci		2.2098		single_child_interpolation		
U4a1h1a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1i	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1i1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1i1a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1i1a1	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1i1a2	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1i1b	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1i2	0.0				no_ci		0.0		single_child_interpolation		
U4a1i2a	0.0				no_ci		0.0		single_child_interpolation		
U4a1i2a1	0.0				no_ci		0.0		single_child_interpolation		
U4a1i2a1a	0.0				no_ci		0.0		rho_fallback_no_desc		
U4a1j	5.0	7.3531	2.3241	12.5388	low	7.3531	2.3241	12.5388	rho_fallback_no_desc	0.0	0.0
U4a1j+16172	4.0	5.8811	0.1974	11.7727	low						
U4a1j1	0.0				no_ci		1.1621		single_child_interpolation		
U4a1j1+195	0.0				no_ci						
U4a1j1_195						9.8756	8.839	10.9184	ancestor_only		
U4a1j2	1.0	0.0			no_ci	0.0	0.0		rho_fallback_no_desc	0.0	
U4a1j_16172						9.8756	8.839	10.9184	ancestor_only		
U4a1k	0.0				no_ci		4.4195		single_child_interpolation		
U4a1k1	0.0				no_ci		0.0		rho_fallback_no_desc		
