Category	Group	Score Component	Time Window	Window Start (Years)	Score
North China	Northern Lowland	Level Component	0-500 Years	0	-0.16919
North China	Northern Lowland	Level Component	500-1000 Years	500	0.21191
North China	Northern Lowland	Level Component	1000-1500 Years	1000	0.22706
North China	Northern Lowland	Level Component	1500-2000 Years	1500	-0.10905
North China	Northern Lowland	Level Component	2000-2500 Years	2000	0.38908
North China	Northern Lowland	Level Component	2500-3000 Years	2500	0.83541
North China	Northern Lowland	Level Component	3000-3500 Years	3000	0.51473
North China	Northern Lowland	Level Component	3500-4000 Years	3500	0.85768
North China	Northern Lowland	Level Component	4000-4500 Years	4000	0.20474
North China	Northern Lowland	Level Component	4500-5000 Years	4500	-0.14514
North China	Northern Lowland	Level Component	5000-5500 Years	5000	0.142
North China	Northern Lowland	Level Component	5500-6000 Years	5500	1.15374
North China	Northern Lowland	Level Component	6000-6500 Years	6000	0.84349
North China	Northern Lowland	Level Component	6500-7000 Years	6500	0.76549
North China	Northern Lowland	Level Component	7000-7500 Years	7000	1.38542
North China	Northern Lowland	Level Component	7500-8000 Years	7500	0.94851
North China	Northern Lowland	Level Component	8000-8500 Years	8000	0.57247
North China	Northern Lowland	Level Component	8500-9000 Years	8500	1.1141
North China	Northern Lowland	Level Component	9000-9500 Years	9000	0.01643
North China	Northern Lowland	Level Component	9500-10000 Years	9500	0.50174
North China	Northern Lowland	Level Component	10000-10500 Years	10000	0.05166
North China	Northern Lowland	Level Component	10500-11000 Years	10500	0.68771
North China	Northern Lowland	Level Component	11000-11500 Years	11000	0.19715
North China	Northern Lowland	Level Component	11500-12000 Years	11500	1.41794
North China	Northern Lowland	Level Component	12000-12500 Years	12000	1.25509
North China	Northern Lowland	Level Component	12500-13000 Years	12500	1.29355
North China	Northern Lowland	Level Component	13000-13500 Years	13000	1.49236
North China	Northern Lowland	Level Component	13500-14000 Years	13500	1.46809
North China	Northern Lowland	Level Component	14000-14500 Years	14000	1.41232
North China	Northern Lowland	Level Component	14500-15000 Years	14500	1.58759
North China	Northern Lowland	Level Component	15000-15500 Years	15000	1.29524
North China	Northern Lowland	Level Component	15500-16000 Years	15500	1.16725
North China	Northern Lowland	Level Component	16000-16500 Years	16000	1.31319
North China	Northern Lowland	Level Component	16500-17000 Years	16500	0.11528
North China	Northern Lowland	Level Component	17000-17500 Years	17000	0.57281
North China	Northern Lowland	Level Component	17500-18000 Years	17500	-1.15012
North China	Northern Lowland	Level Component	18000-18500 Years	18000	-0.07826
North China	Northern Lowland	Level Component	18500-19000 Years	18500	-1.4487
North China	Northern Lowland	Level Component	19000-19500 Years	19000	-1.30232
Northern Segment	Corridor Segment	Level Component	0-500 Years	0	-0.08876
Northern Segment	Corridor Segment	Level Component	500-1000 Years	500	0.31392
Northern Segment	Corridor Segment	Level Component	1000-1500 Years	1000	0.35255
Northern Segment	Corridor Segment	Level Component	1500-2000 Years	1500	0.24679
Northern Segment	Corridor Segment	Level Component	2000-2500 Years	2000	0.71834
Northern Segment	Corridor Segment	Level Component	2500-3000 Years	2500	0.41772
Northern Segment	Corridor Segment	Level Component	3000-3500 Years	3000	-0.03841
Northern Segment	Corridor Segment	Level Component	3500-4000 Years	3500	-0.17181
Northern Segment	Corridor Segment	Level Component	4000-4500 Years	4000	-0.2135
Northern Segment	Corridor Segment	Level Component	4500-5000 Years	4500	-0.15379
Northern Segment	Corridor Segment	Level Component	5000-5500 Years	5000	-0.15384
Northern Segment	Corridor Segment	Level Component	5500-6000 Years	5500	0.09624
Northern Segment	Corridor Segment	Level Component	6000-6500 Years	6000	0.04502
Northern Segment	Corridor Segment	Level Component	6500-7000 Years	6500	-0.1284
Northern Segment	Corridor Segment	Level Component	7000-7500 Years	7000	0.03045
