Category	Group	Time Window	Window Start (Years)	Feature	Median
Sichuan Basin	Sichuan Region	2000-2500 Years	2000	Time of Maximum Expansion	2000
Sichuan Basin	Sichuan Region	2000-2500 Years	2000	Maximum Expansion Rate	1.19535
Sichuan Basin	Sichuan Region	2000-2500 Years	2000	Time of Maximum Contraction	2400
Sichuan Basin	Sichuan Region	2000-2500 Years	2000	Maximum Contraction Rate	0.31785
Southern Segment	Corridor Segment	2000-2500 Years	2000	Mean Log Effective Population Size	10.73274
Southern Segment	Corridor Segment	2000-2500 Years	2000	Net Change in Log Effective Population Size	-0.60464
Southern Segment	Corridor Segment	2000-2500 Years	2000	Mean Rate of Change	-0.00151
Southern Segment	Corridor Segment	2000-2500 Years	2000	Fluctuation Amplitude	0.60464
Southern Segment	Corridor Segment	2000-2500 Years	2000	Time of Maximum Expansion	2000
Southern Segment	Corridor Segment	2000-2500 Years	2000	Maximum Expansion Rate	0.05436
Southern Segment	Corridor Segment	2000-2500 Years	2000	Time of Maximum Contraction	2400
Southern Segment	Corridor Segment	2000-2500 Years	2000	Maximum Contraction Rate	-0.40381
Western Highland	Highland	2000-2500 Years	2000	Mean Log Effective Population Size	9.41188
Western Highland	Highland	2000-2500 Years	2000	Net Change in Log Effective Population Size	0.31215
Western Highland	Highland	2000-2500 Years	2000	Mean Rate of Change	7.8e-4
Western Highland	Highland	2000-2500 Years	2000	Fluctuation Amplitude	0.31215
Western Highland	Highland	2000-2500 Years	2000	Time of Maximum Expansion	2400
Western Highland	Highland	2000-2500 Years	2000	Maximum Expansion Rate	0.73916
