haplogroup	n_samples	rho_age_kya	rho_ci95_lower_kya	rho_ci95_upper_kya	confidence	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	calibration_method	diff_kya	rel_diff_pct
B2b3a1	9	0.8567	0.0171	1.7012	low	0.8567	0.0171	1.7012	rho_fallback_no_desc	0.0	0.0
B2b4	2	0.0	0.0	0.0	very_low	0.0	0.0	0.0	rho_fallback_no_desc	0.0	
B2b5	7	19.4215	16.8578	22.0163	low	19.4215	16.8578	22.0163	rho_fallback_no_desc	0.0	0.0
B2b6	3	10.6101	10.6101	10.6101	low	10.6101	10.6101	10.6101	rho_fallback_no_desc	0.0	0.0
B2b_T152C!	10	13.3705	9.4322	17.3924	medium	10.171	9.1642		single_child_interpolation	-3.1995000000000005	23.92954638943944
B2c	27	13.9895	11.8501	16.153	medium	13.9895	11.8501	16.153	rho_direct	0.0	0.0
B2c1	13	8.0993	5.6854	10.548	medium	8.0993	5.6854	10.548	rho_direct	0.0	0.0
B2c1a	4	3.2389	0.801	5.7167	low	3.2389	0.801	5.7167	rho_fallback_no_desc	0.0	0.0
B2c1b	3	5.2164	-0.6728	11.3326	low	5.2164	0.0	11.3326	rho_fallback_no_desc	0.0	0.0
B2c1c	3	6.1033	4.3696	7.8557	low	6.1033	4.3696	7.8557	rho_fallback_no_desc	0.0	0.0
B2c2	12	10.1541	8.3186	12.0088	medium	10.1541	8.3186	12.0088	rho_direct	0.0	0.0
B2c2a	6	2.5854	1.2713	3.9113	low	2.5854	1.2713	3.9113	rho_fallback_no_desc	0.0	0.0
