haplogroup	ml_age_years	ml_ci95_lower_years	ml_ci95_upper_years	ml_age_kya	ml_ci95_lower_kya	ml_ci95_upper_kya	n_samples	calibration_method	confidence	flag
R23a	21891.8	21891.8	21891.8	21.8918	21.8918	21.8918	3	rho_fallback_no_desc	NA	
R24	29014.6	23941.7	34363.0	29.0146	23.9417	34.3630	4	single_child_interpolation	NA	
R24a	11525.6	1793.9	21807.6	11.5256	1.7939	21.8076	3	rho_fallback_no_desc	NA	
R25		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R26		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R27	15233.5	13407.6	17076.5	15.2335	13.4076	17.0765	3	rho_fallback_no_desc	NA	
R28	24808.6	24808.6	24808.6	24.8086	24.8086	24.8086	2	rho_fallback_no_desc	NA	
R29		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R2_T13500C	16418.7	14870.0	17979.3	16.4187	14.8700	17.9793	80	rho_direct	NA	
R2_T13500C_T195C!	12605.9	8059.8	17331.3	12.6059	8.0597	17.3313	5	single_child_interpolation	NA	
R2a	8793.1	1249.5	16683.4	8.7931	1.2495	16.6834	3	rho_fallback_no_desc	NA	
R2b	15769.0	10667.8	21004.5	15.769	10.6678	21.0045	7	rho_fallback_no_desc	low	ci_exceeds_ancestor
R2b1	16171.7	307.8	33407.5	16.1717	0.3078	33.4075	2	rho_fallback_no_desc	low	ci_exceeds_ancestor
R2b2	1286.9	0.0	2757.2	1.2869	0.0000	2.7572	4	rho_fallback_no_desc	NA	
R2c	1286.9	0.0	3842.7	1.2869	0.0000	3.8427	2	rho_fallback_no_desc	NA	
R2d	2958.5	1779.1	4147.2	2.9585	1.7791	4.1472	14	rho_direct	NA	
R2e	30249.3	25632.9	34948.2	30.2493	25.6329	34.9482	6	rho_fallback_no_desc	low	ci_exceeds_ancestor
R2f	8567.3	6501.3	10658.5	8.5673	6.5013	10.6585	12	rho_direct	NA	
R2g	14766.0	12459.8	17099.9	14.766	12.4598	17.0999	8	rho_fallback_no_desc	NA	
R3		0.0			0.0000	NA	0	rho_fallback_no_desc	NA	
R30	54616.3	48958.5	60356.1	54.6163	48.9585	60.3561	44	rho_direct	low	ci_exceeds_ancestor
R30a	40522.3	36195.6	44908.6	40.5223	36.1956	44.9086	21	single_child_interpolation	NA	
R30a1	26428.3	23432.6	29461.1	26.4283	23.4326	29.4611	20	rho_direct	NA	
