# Reference: MtDNA genomes reveal relaxed purifying selection during human population expansion after the Last Glacial Maximum
HG	Time (95%CI) (kya)	
	ρ-based method	ML method
G2c1a1	8.43  (4.24 , 12.73 )	7.19 (3.53, 10.93)
G2c1a2	2.59  (0.00 , 6.99 )	2.97 (0.00, 7.11)
G2d'e	17.19  (10.75 , 23.84 )	19.02 (10.16, 28.26)
G2d	10.83  (6.54 , 15.22 )	11.97 (6.73, 17.37)
G2d1	3.24  (0.00 , 6.67 )	2.85 (0.00, 6.86)
G2d2	4.46  (1.03 , 7.97 )	5.75 (0.58, 11.09)
G2d3	6.55  (3.20 , 9.97 )	6.44 (2.68, 10.29)
G2e	22.68  (9.92 , 36.21 )	16.82 (8.56, 25.43)
G2e1	12.26  (4.06 , 20.84 )	9.03 (2.55, 15.75)
G2e1a	3.90  (0.29 , 7.58 )	4.45 (0.00, 10.37)
G2b	16.63  (11.50 , 21.89 )	20.36 (13.09, 27.88)
G2b1	12.59  (7.93 , 17.38 )	13.79 (7.01, 20.82)
G2b1a	11.04  (8.00 , 14.14 )	10.11 (7.25, 13.02)
G2b1a1	2.06  (0.04 , 4.12 )	2.30 (0.05, 4.59)
G2b1a2	10.86  (3.81 , 18.20 )	8.96 (5.63, 12.36)
G2b1a2a	4.89  (0.00 , 9.95 )	4.88 (0.00, 10.07)
G2b1a2a1	2.59  (0.41 , 4.79 )	2.85 (0.00, 7.23)
G2b1a3	3.46  (1.05 , 5.90 )	4.51 (1.15, 7.94)
G2b1a4	11.79  (5.58 , 18.21 )	8.20 (5.13, 11.33)
G2b1a4a	7.89  (1.66 , 14.36 )	5.69 (1.83, 9.64)
G2b1a4b	7.89  (2.09 , 13.90 )	6.63 (3.10, 10.23)
G2b1a4b1	4.33  (0.00 , 8.96 )	4.02 (0.55, 7.56)
G2b1a5	6.82  (2.30 , 11.46 )	7.13 (2.15, 12.26)
G2b1a6	5.88  (1.24 , 10.66 )	5.75 (1.65, 9.96)
G2b1a7	3.46  (0.00 , 7.71 )	4.14 (0.00, 8.80)
G2b1b	7.31  (3.47 , 11.24 )	10.05 (4.50, 15.77)
G2b1b1	4.16  (1.36 , 7.01 )	6.06 (2.31, 9.90)
G2b1b1a	7.00  (1.55 , 12.63 )	4.82 (1.45, 8.26)
G2b1b2	0.86  (0.00 , 2.05 )	2.05 (0.00, 6.90)
G2b1b3	3.46  (1.05 , 5.90 )	5.32 (0.75, 10.01)
G2b2	15.51  (11.13 , 19.99 )	17.35 (11.83, 23.02)
G2b2a	13.97  (6.04 , 22.24 )	15.17 (9.08, 21.45)
G2b2a1	4.73  (2.01 , 7.51 )	4.94 (2.05, 7.89)
G2b2a2	15.23  (6.28 , 24.61 )	13.14 (6.75, 19.75)
G2b2b	15.23  (8.17 , 22.56 )	13.79 (8.25, 19.50)
G2b2b1	3.71  (0.62 , 6.86 )	3.77 (0.00, 8.30)
G2b2b2	10.61  (4.52 , 16.92 )	8.96 (3.69, 14.40)
G2b2b3	5.22  (0.39 , 10.19 )	6.69 (0.90, 12.69)
G2b2c	7.35  (3.67 , 11.12 )	8.01 (3.73, 12.40)
G2b2d	4.63  (0.09 , 9.30 )	7.00 (0.00, 15.45)
G2b2d1	1.84  (0.00 , 4.27 )	2.73 (0.00, 6.12)
G2b2e	13.83  (7.09 , 20.83 )	14.84 (8.64, 21.24)
G2b2e1	6.55  (2.46 , 10.75 )	8.20 (1.76, 14.90)
G2b2e2	3.90  (0.00 , 8.42 )	3.03 (0.00, 9.40)
G3	20.26  (13.07 , 27.70 )	23.41 (11.69, 35.77)
G3a	17.37  (10.84 , 24.12 )	15.96 (6.38, 26.02)
G3a1'4'5	12.97  (6.39 , 19.79 )	10.24 (5.78, 14.81)
G3a1	7.71  (2.67 , 12.91 )	6.69 (3.53, 9.91)
G3a1a	5.42  (2.94 , 7.94 )	5.94 (3.03, 8.90)
G3a1a1	6.10  (1.56 , 10.78 )	3.95 (0.96, 7.00)
G3a4	2.59  (0.05 , 5.16 )	3.28 (0.00, 7.42)
G3a5	5.66  (2.12 , 9.28 )	6.50 (2.14, 10.98)
G3a2	12.73  (8.43 , 17.14 )	10.94 (7.57, 14.38)
G3a2a-e	12.63  (8.69 , 16.66 )	10.30 (6.82, 13.85)
G3a2a	9.49  (4.92 , 14.19 )	8.33 (3.44, 13.36)
G3a2a1	3.17  (0.83 , 5.54 )	4.02 (0.31, 7.81)
G3a2a2	5.22  (0.00 , 10.79 )	4.08 (0.00, 8.61)
G3a2a3	5.22  (0.10 , 10.50 )	5.56 (0.40, 10.90)
G3a2a4	3.90  (0.00 , 8.42 )	4.76 (0.00, 10.82)
G3a2b	9.93  (5.60 , 14.36 )	9.34 (5.88, 12.87)
G3a2b1	3.24  (0.40 , 6.14 )	3.52 (0.07, 7.06)
G3a2b2	12.45  (4.16 , 21.11 )	8.01 (4.09, 12.02)
G3a2b3	5.88  (2.01 , 9.84 )	7.44 (3.30, 11.69)
G3a2b3a	1.29  (0.00 , 3.09 )	2.18 (0.00, 5.92)
G3a2b3b	2.59  (0.00 , 5.57 )	3.15 (0.00, 6.92)
G3a2c	3.71  (0.79 , 6.68 )	4.02 (0.00, 9.92)
G3a2d	7.16  (1.71 , 12.79 )	5.44 (1.82, 9.14)
G3a2d1	6.74  (0.17 , 13.58 )	4.14 (0.32, 8.06)
G3a2d1a	2.15  (0.00 , 4.42 )	1.87 (0.00, 5.25)
G3a2e	7.89  (2.09 , 13.90 )	6.50 (1.78, 11.36)
G3a2f	5.48  (2.26 , 8.77 )	5.94 (0.88, 11.16)
G3a2f1	5.22  (1.07 , 9.47 )	5.94 (0.00, 13.82)
G3a2f1a	2.59  (0.05 , 5.16 )	2.85 (0.00, 7.23)
G3a2g	5.22  (1.03 , 9.52 )	5.50 (0.58, 10.58)
G3a2h	6.55  (0.79 , 12.51 )	7.63 (1.33, 14.18)
G3a2i	4.77  (0.68 , 8.97 )	6.81 (1.26, 12.57)
G3a2i1	1.29  (0.00 , 3.09 )	2.12 (0.00, 6.60)
G3a2j	5.22  (0.39 , 10.19 )	6.63 (0.48, 13.01)
G3a6	7.89  (1.29 , 14.76 )	7.95 (0.69, 15.54)
G3a7	2.59  (0.05 , 5.16 )	3.15 (0.00, 7.17)
G3a8	13.37  (5.77 , 21.29 )	11.72 (6.73, 16.84)
G3a8a	3.63  (0.26 , 7.08 )	3.52 (0.00, 7.43)
G3a9	5.22  (0.10 , 10.50 )	5.50 (0.11, 11.08)
G3a3	7.49  (4.39 , 10.65 )	7.44 (4.39, 10.56)
G3a3a	9.25  (2.13 , 16.66 )	6.00 (2.97, 9.09)
G3a3a1	5.22  (1.11 , 9.43 )	3.71 (1.20, 6.26)
G3a3a1a	5.22  (1.03 , 9.52 )	2.91 (0.65, 5.21)
G3a3b	7.89  (1.54 , 14.49 )	5.88 (2.25, 9.59)
G3b	11.92  (8.21 , 15.70 )	12.75 (7.49, 18.17)
G3b1	8.34  (4.30 , 12.49 )	8.71 (3.81, 13.75)
G3b1a'b	7.44  (2.33 , 12.72 )	6.88 (1.08, 12.89)
G3b1a	6.55  (1.72 , 11.53 )	5.38 (0.58, 10.33)
G3b1b	1.29  (0.00 , 3.84 )	1.75 (0.00, 5.24)
G3b2	9.52  (5.86 , 13.25 )	9.98 (4.80, 15.32)
G3b2a'b	7.89  (1.93 , 14.07 )	7.51 (0.00, 16.76)
G3b2a	4.33  (0.00 , 9.59 )	3.46 (0.00, 14.28)
G3b2b	2.59  (0.00 , 6.24 )	3.28 (0.00, 7.79)
G3b2c	2.59  (0.00 , 6.24 )	2.54 (0.00, 6.54)
G3b3	8.43  (2.72 , 14.34 )	8.26 (0.00, 20.18)
G3b3a	6.10  (0.96 , 11.42 )	5.81 (0.00, 15.75)
G3b4	4.33  (0.53 , 8.24 )	5.81 (0.53, 11.28)
G4	23.05  (12.81 , 33.78 )	23.14 (13.08, 33.66)
G4a	10.61  (3.41 , 18.11 )	10.75 (1.69, 20.30)
G4b	7.89  (1.90 , 14.10 )	10.11 (2.39, 18.18)
G4b1	1.93  (0.00 , 4.16 )	3.89 (0.00, 8.92)
G4b2	1.29  (0.00 , 3.84 )	1.33 (0.00, 3.96)
G5	16.88  (6.18 , 28.18 )	14.84 (5.68, 24.45)
M12	44.18  (31.56 , 57.29 )	39.20 (29.97, 48.71)
M12a	42.07  (28.40 , 56.35 )	37.32 (28.29, 46.63)
M12a1	33.46  (23.86 , 43.40 )	34.10 (25.17, 43.31)
M12a1a	24.36  (16.41 , 32.58 )	24.99 (13.44, 37.14)
M12a1a1	9.73  (5.09 , 14.49 )	11.14 (1.93, 20.83)
M12a1a1a	7.89  (5.15 , 10.68 )	8.58 (4.89, 12.35)
M12a1a1a1	2.59  (0.00 , 5.31 )	2.85 (0.00, 6.00)
M12a1a1b	5.66  (0.60 , 10.88 )	7.00 (0.00, 15.71)
M12a1a1b1	3.06  (1.15 , 4.99 )	3.77 (0.90, 6.69)
M12a1a2'3'4	28.75  (17.12 , 40.95 )	23.55 (9.18, 38.88)
M12a1a2	6.55  (1.39 , 11.87 )	7.95 (0.00, 18.79)
M12a1a2a	3.46  (0.07 , 6.92 )	4.08 (0.00, 8.99)
M12a1a3'4	27.53  (15.61 , 40.05 )	22.60 (11.67, 34.07)
M12a1a3	15.64  (7.47 , 24.15 )	15.30 (7.35, 23.58)
M12a1a3a	6.01  (2.78 , 9.31 )	6.06 (2.31, 9.90)
M12a1a3a1	7.00  (1.04 , 13.18 )	4.82 (0.86, 8.88)
M12a1a3a2	4.33  (0.53 , 8.24 )	4.08 (0.49, 7.75)
M12a1a3b	3.78  (0.00 , 8.72 )	7.19 (0.79, 13.85)
M12a1a4	6.28  (2.15 , 10.52 )	5.75 (0.23, 11.47)
M12a1a5	15.23  (6.64 , 24.22 )	16.95 (5.97, 28.56)
M12a1b	30.75  (20.07 , 41.87 )	27.83 (18.21, 37.83)
M12a1b1	7.89  (0.83 , 15.26 )	7.70 (0.80, 14.89)
M12a1b1a	3.24  (0.26 , 6.28 )	3.15 (0.00, 6.68)
M12a1b2	20.32  (11.65 , 29.34 )	17.08 (9.93, 24.49)
M12a1b2a	16.88  (8.73 , 25.37 )	14.12 (7.82, 20.63)
M12a1b2a1	11.79  (6.91 , 16.80 )	11.14 (5.80, 16.64)
M12a1b2a1a	10.61  (4.04 , 17.43 )	9.28 (3.64, 15.11)
M12a1b2a1b	3.90  (0.00 , 8.42 )	5.56 (0.00, 13.05)
M12a2	22.62  (12.49 , 33.22 )	25.13 (11.66, 39.41)
M12a2a	21.89  (10.54 , 33.86 )	21.98 (8.09, 36.79)
M12b	23.62  (13.73 , 33.95 )	27.90 (17.62, 38.61)
M12b1	19.65  (9.84 , 29.93 )	22.66 (12.25, 33.58)
M12b1a	12.29  (3.54 , 21.48 )	11.65 (3.86, 19.79)
M12b1a1	2.59  (0.00 , 6.24 )	3.28 (0.00, 8.91)
M12b1a2	7.39  (1.20 , 13.81 )	7.51 (1.45, 13.79)
M12b1a2a	2.18  (0.49 , 3.90 )	3.34 (0.00, 7.48)
M12b1a2b	3.90  (0.00 , 8.42 )	4.45 (0.00, 10.75)
M12b1b	1.61  (0.00 , 3.30 )	2.30 (0.00, 4.95)
M12b2	15.47  (5.88 , 25.54 )	15.04 (3.68, 27.09)
M12b2a	6.10  (0.43 , 11.99 )	5.75 (0.00, 13.50)
M13'46'61	47.78  (35.97 , 60.00 )	52.70 (41.20, 64.55)
M13	48.50  (33.91 , 63.71 )	48.09 (34.53, 62.20)
M13a'b	45.24  (29.69 , 61.53 )	48.09 (29.53, 67.67)
M13a	22.02  (13.08 , 31.32 )	23.34 (8.58, 39.10)
M13a1	10.35  (5.57 , 15.25 )	13.20 (4.77, 22.01)
M13a1a	3.90  (0.77 , 7.09 )	5.37 (0.00, 11.25)
M13a1b	7.00  (4.73 , 9.29 )	7.74 (4.72, 10.80)
M13a1b1	3.24  (0.00 , 6.67 )	3.41 (0.00, 9.01)
M13a1b2	4.33  (0.53 , 8.24 )	3.47 (0.02, 7.00)
M13a2	11.71  (4.33 , 19.40 )	9.57 (4.17, 15.15)
M13a2a	6.74  (4.27 , 9.25 )	6.47 (3.26, 9.73)
M13a2a1	11.99  (4.05 , 20.27 )	5.64 (2.46, 8.89)
M13a2a2	5.22  (0.10 , 10.50 )	4.50 (0.50, 8.60)
M13b	35.16  (21.97 , 48.98 )	35.95 (20.02, 52.81)
M13b1	29.55  (15.12 , 44.84 )	24.96 (12.08, 38.58)
M13b1a	6.55  (2.46 , 10.75 )	6.41 (0.00, 13.68)
M13b2	7.00  (0.00 , 14.38 )	6.14 (0.64, 11.83)
M13b2a	2.59  (0.00 , 6.86 )	2.23 (0.00, 5.31)
M13c	42.72  (28.02 , 58.12 )	43.41 (30.05, 57.34)
M13c1	32.26  (18.55 , 46.69 )	31.14 (15.74, 47.49)
M13c1a	3.63  (0.00 , 8.19 )	2.45 (0.00, 6.92)
M13c2	23.35  (11.87 , 35.42 )	23.40 (11.94, 35.45)
M46'61	36.64  (23.20 , 50.71 )	44.32 (21.86, 68.40)
M46	40.95  (23.48 , 59.45 )	40.65 (21.85, 60.65)
M46a	1.29  (0.00 , 3.09 )	1.80 (0.00, 5.30)
M61	17.76  (10.13 , 25.67 )	21.19 (10.30, 32.64)
M61a	7.35  (2.71 , 12.13 )	7.13 (2.01, 12.40)
M61a1	5.22  (1.03 , 9.52 )	4.01 (0.34, 7.77)
M61b	12.18  (4.69 , 20.00 )	17.06 (6.83, 27.84)
M61b1	4.69  (0.01 , 9.51 )	4.33 (0.00, 9.08)
M61b1a	2.59  (0.05 , 5.16 )	2.45 (0.00, 5.74)
M61b2	0.86  (0.00 , 1.83 )	3.09 (0.00, 6.72)
M17	44.67  (33.27 , 56.46 )	46.98 (35.06, 59.33)
M17a	22.76  (14.79 , 31.03 )	22.14 (12.87, 31.81)
M17a1	14.07  (4.74 , 23.87 )	13.71 (3.88, 24.08)
M17a2	20.45  (8.66 , 32.91 )	19.47 (9.99, 29.39)
M17c	35.81  (24.85 , 47.20 )	42.00 (27.14, 57.58)
M17c1	26.15  (16.27 , 36.44 )	34.44 (17.34, 52.65)
M17c1a	22.76  (13.81 , 32.08 )	28.61 (13.38, 44.82)
M17c1a1	18.54  (11.16 , 26.18 )	18.70 (7.84, 30.16)
M17c1a1a	18.30  (10.92 , 25.95 )	16.83 (7.91, 26.16)
M17c2	30.75  (17.02 , 45.23 )	31.70 (17.52, 46.67)
M17c2a	14.30  (4.89 , 24.19 )	12.97 (3.28, 23.18)
M23'75	63.39  (45.68 , 81.83 )	53.56 (44.31, 63.04)
M23	39.29  (21.14 , 58.60 )	36.52 (21.60, 52.24)
M23a	33.43  (16.43 , 51.56 )	27.63 (13.48, 42.65)
M23a1	5.88  (0.91 , 11.02 )	6.36 (0.02, 12.95)
M23a1a	2.59  (0.67 , 4.53 )	3.58 (0.00, 8.41)
M75	35.81  (23.13 , 49.07 )	32.63 (17.48, 48.67)
M75a'b	32.91  (20.86 , 45.51 )	32.63 (17.14, 49.06)
M75a	16.80  (6.93 , 27.17 )	22.26 (9.00, 36.35)
M75a1	1.10  (0.00 , 2.36 )	2.98 (0.00, 7.48)
M75a2	19.01  (8.79 , 29.75 )	17.94 (6.47, 30.08)
M75b	17.30  (9.44 , 25.48 )	14.98 (5.72, 24.70)
M75b1	11.53  (3.86 , 19.53 )	11.60 (2.73, 20.93)
M75b2	14.77  (5.88 , 24.08 )	12.97 (4.66, 21.66)
M33	38.12  (29.59 , 46.90 )	48.03 (32.50, 64.26)
M33a	30.18  (22.98 , 37.58 )	33.44 (22.77, 44.54)
M33a1	24.16  (13.74 , 35.06 )	30.89 (15.62, 47.10)
M33a1a	8.49  (1.27 , 16.03 )	9.85 (0.00, 20.49)
M33a1b	9.59  (2.06 , 17.45 )	11.83 (0.33, 24.10)
M33a1b1	4.08  (0.03 , 8.24 )	4.50 (0.09, 9.03)
M33a1b1a	2.06  (0.04 , 4.12 )	2.93 (0.00, 6.99)
M33a2	19.97  (11.77 , 28.49 )	21.60 (13.59, 29.92)
M33a2a'b	17.20  (10.36 , 24.28 )	18.88 (11.08, 26.98)
M33a2a	11.39  (6.03 , 16.92 )	13.03 (5.46, 20.90)
M33a2b	12.45  (3.81 , 21.51 )	14.40 (5.38, 23.86)
M33a3	33.77  (20.86 , 47.32 )	29.11 (15.87, 43.06)
M33a3a	27.76  (14.06 , 42.25 )	22.26 (11.31, 33.76)
M33a3b	5.22  (0.10 , 10.50 )	5.42 (0.00, 12.98)
M33a4	21.89  (10.50 , 33.90 )	27.57 (15.00, 40.82)
M33a4a	8.79  (1.86 , 16.02 )	8.62 (0.00, 21.28)
M33b'c	35.17  (23.57 , 47.26 )	44.84 (28.87, 61.60)
M33b	25.99  (16.00 , 36.40 )	27.09 (19.10, 35.34)
M33b1	18.63  (10.26 , 27.35 )	19.29 (12.37, 26.45)
M33b1a	15.47  (6.96 , 24.35 )	16.66 (10.04, 23.49)
M33b1a1	1.29  (0.03 , 2.56 )	2.71 (0.00, 6.23)
M33b1a2	9.25  (2.34 , 16.43 )	8.18 (2.19, 14.39)
M33b2	21.89  (12.81 , 31.35 )	23.82 (15.26, 32.70)
M33c	14.28  (9.36 , 19.32 )	14.17 (7.32, 21.28)
M33c1'2'3'4	16.17  (9.75 , 22.81 )	12.74 (6.26, 19.45)
M33c1'2	19.01  (9.41 , 29.07 )	11.94 (5.07, 19.08)
M33c1	10.22  (3.39 , 17.33 )	6.85 (2.90, 10.90)
M33c1a	6.10  (1.56 , 10.78 )	3.47 (0.74, 6.24)
M33c2	10.61  (2.79 , 18.79 )	9.24 (1.95, 16.85)
M33c3	4.69  (0.01 , 9.51 )	5.86 (0.00, 12.43)
M33c3a	1.93  (0.00 , 4.16 )	2.82 (0.00, 6.66)
M33c4	5.22  (0.10 , 10.50 )	3.68 (0.00, 8.52)
M33c5	5.75  (1.76 , 9.84 )	6.47 (0.00, 13.96)
M33c6	3.11  (0.00 , 6.70 )	3.14 (0.00, 8.51)
M33c6a	1.72  (0.00 , 4.13 )	1.48 (0.00, 5.29)
M33c7	4.33  (0.00 , 9.25 )	3.20 (0.00, 9.33)
M33c7a	2.21  (0.00 , 5.51 )	1.43 (0.00, 7.39)
M33d	5.22  (1.43 , 9.09 )	7.13 (2.22, 12.18)
M33d1	7.00  (2.11 , 12.03 )	5.64 (1.51, 9.88)
M42'74	49.66  (36.46 , 63.35 )	54.89 (43.45, 66.67)
M42	53.46  (38.66 , 68.85 )	53.30 (41.27, 65.70)
M42a	36.83  (25.79 , 48.30 )	38.74 (24.05, 54.17)
M42a1	34.38  (23.35 , 45.86 )	36.33 (20.14, 53.47)
M42b	43.20  (28.58 , 58.49 )	48.42 (35.45, 61.87)
M42b1	23.16  (16.01 , 30.55 )	27.33 (18.76, 36.21)
M42b1a	13.99  (6.96 , 21.28 )	17.65 (7.71, 28.09)
M42b1a1	2.06  (0.00 , 4.58 )	3.47 (0.00, 8.74)
M42b1a2	14.07  (6.15 , 22.32 )	10.81 (3.66, 18.26)
M42b1b	21.89  (10.54 , 33.86 )	21.96 (12.14, 32.23)
M42b2	44.60  (27.89 , 62.19 )	37.28 (24.20, 50.96)
M74	35.28  (24.42 , 46.56 )	38.42 (25.16, 52.28)
M74a	10.08  (3.61 , 16.80 )	11.83 (0.95, 23.39)
M74a1	3.11  (1.34 , 4.90 )	4.23 (0.65, 7.88)
M74a2	3.08  (0.89 , 5.29 )	3.95 (1.22, 6.74)
M74a2a	2.06  (0.00 , 4.58 )	1.86 (0.00, 3.97)
M74b	26.17  (17.83 , 34.80 )	26.66 (17.31, 36.38)
M74b1	10.29  (4.30 , 16.49 )	10.30 (4.13, 16.70)
M74b1a	6.33  (3.18 , 9.53 )	6.25 (2.73, 9.84)
M74b1b	4.16  (1.26 , 7.11 )	4.88 (0.98, 8.88)
M74b2	8.05  (3.71 , 12.51 )	8.57 (4.15, 13.10)
M74b3	17.26  (9.07 , 25.79 )	17.24 (9.61, 25.16)
M74b3a	7.89  (2.10 , 13.89 )	7.13 (0.45, 14.08)
M74c	6.10  (0.96 , 11.42 )	9.13 (0.00, 19.83)
M62'68	60.39  (44.14 , 77.28 )	55.83 (44.48, 67.50)
M62	25.57  (16.37 , 35.14 )	24.06 (10.13, 38.87)
M62a	14.07  (6.61 , 21.83 )	16.60 (5.21, 28.67)
M62b	22.02  (12.90 , 31.53 )	19.94 (5.22, 35.74)
M62b1'2	19.56  (11.88 , 27.52 )	17.12 (8.63, 25.99)
M62b1	20.84  (9.70 , 32.57 )	15.09 (6.80, 23.76)
M62b1a	13.93  (6.47 , 21.69 )	10.81 (3.88, 18.03)
M62b1a1	8.23  (3.75 , 12.83 )	7.13 (1.49, 12.96)
M62b2	11.30  (4.69 , 18.16 )	12.11 (5.34, 19.15)
M68	68.38  (44.42 , 93.59 )	55.83 (36.21, 76.45)
M68a	22.86  (13.23 , 32.92 )	21.13 (10.57, 32.21)
M68a1	10.61  (3.18 , 18.36 )	8.79 (1.52, 16.38)
M68a1a	3.90  (1.07 , 6.77 )	3.52 (0.28, 6.84)
M68a2	7.89  (1.76 , 14.26 )	7.51 (0.00, 15.73)
M68a2a	2.59  (0.00 , 6.44 )	2.23 (0.00, 5.52)
M68b	30.75  (17.31 , 44.91 )	30.34 (15.22, 46.38)
M71	32.12  (23.28 , 41.24 )	38.10 (22.27, 54.81)
M71a'b'd'e	28.84  (21.47 , 36.42 )	33.00 (23.29, 43.07)
M71a	27.00  (17.68 , 36.68 )	30.34 (20.73, 40.31)
M71a1	12.84  (7.72 , 18.10 )	13.37 (6.87, 20.10)
M71a1a	10.15  (6.44 , 13.95 )	11.09 (6.61, 15.69)
M71a1a1	9.70  (3.52 , 16.11 )	9.35 (4.49, 14.35)
M71a1a2	5.22  (1.16 , 9.38 )	6.25 (0.85, 11.83)
M71a1a3	2.59  (0.00 , 6.24 )	3.20 (0.00, 9.33)
M71a1b	6.10  (2.25 , 10.05 )	6.03 (1.99, 10.16)
M71a1b1	4.33  (0.53 , 8.24 )	4.01 (0.86, 7.23)
M71a2	20.93  (13.80 , 28.29 )	20.06 (11.99, 28.44)
M71a2a	20.16  (12.90 , 27.67 )	18.64 (10.74, 26.85)
M71a2b	15.47  (6.07 , 25.34 )	16.42 (7.74, 25.50)
M71a3	4.55  (0.72 , 8.49 )	6.96 (0.39, 13.80)
M71b	8.57  (3.85 , 13.42 )	9.57 (1.96, 17.54)
M71d	22.01  (15.05 , 29.20 )	25.08 (15.46, 35.11)
M71d1a	1.29  (0.00 , 3.09 )	1.75 (0.00, 5.46)
M71d2	23.14  (12.09 , 34.74 )	18.88 (9.87, 28.30)
M71d2a	12.26  (4.00 , 20.91 )	9.57 (3.01, 16.40)
M71d2a1	11.30  (2.68 , 20.34 )	7.90 (1.71, 14.33)
M71d3	2.96  (0.24 , 5.72 )	3.52 (0.00, 7.38)
M71e	5.22  (0.10 , 10.50 )	6.19 (0.00, 13.90)
M71c	6.55  (0.67 , 12.65 )	6.36 (0.00, 13.62)
M72	11.81  (5.58 , 18.27 )	16.72 (6.93, 26.99)
M72a	7.89  (2.94 , 13.00 )	10.36 (3.44, 17.56)
M72a1	4.95  (1.83 , 8.14 )	6.36 (1.27, 11.61)
M72a1a	6.55  (0.79 , 12.51 )	4.01 (0.00, 9.96)
M72b	5.22  (0.10 , 10.50 )	4.55 (0.00, 9.75)
M76	38.45  (25.45 , 52.03 )	36.27 (24.77, 48.24)
M76a	35.04  (19.33 , 51.67 )	31.82 (20.52, 43.62)
M76a1	17.72  (8.89 , 26.94 )	18.29 (9.53, 27.44)
M76a1a	10.61  (2.33 , 19.30 )	10.47 (1.45, 19.98)
M76a1a1	3.33  (0.92 , 5.79 )	3.14 (0.74, 5.59)
M76a1b	7.89  (1.54 , 14.49 )	8.23 (0.99, 15.80)
M76b	24.81  (12.11 , 38.22 )	27.94 (16.48, 39.95)
M80'D	44.04  (31.41 , 57.17 )	53.64 (43.53, 64.02)
D	37.81  (28.64 , 47.27 )	46.62 (31.94, 61.95)
D4	24.46  (20.90 , 28.08 )	22.60 (19.35, 25.90)
D4a	14.55  (11.39 , 17.77 )	12.30 (9.76, 14.87)
D4a1	8.33  (5.48 , 11.22 )	7.38 (5.23, 9.55)
D4a1a	6.10  (0.88 , 11.50 )	5.51 (2.13, 8.97)
D4a1a1	3.63  (1.75 , 5.54 )	4.10 (1.58, 6.67)
D4a1a1a	4.69  (0.72 , 8.75 )	3.03 (0.11, 6.00)
D4a1b	3.78  (2.10 , 5.47 )	4.86 (1.70, 8.09)
D4a1b1	2.06  (0.04 , 4.12 )	3.13 (0.00, 12.89)
D4a1c	3.79  (1.53 , 6.09 )	5.19 (1.40, 9.07)
D4a1c1	1.93  (0.00 , 4.16 )	2.17 (0.00, 5.13)
D4a1d	4.16  (1.26 , 7.11 )	4.54 (0.00, 10.37)
D4a1e	6.94  (5.07 , 8.83 )	6.33 (4.41, 8.28)
D4a1e1	7.48  (3.30 , 11.77 )	5.57 (3.24, 7.94)
D4a1e1a	4.16  (0.62 , 7.78 )	2.76 (0.26, 5.30)
D4a1e2	5.22  (0.10 , 10.50 )	4.48 (0.40, 8.68)
D4a1e3	3.63  (0.58 , 6.75 )	3.67 (0.00, 9.26)
D4a1e4	5.88  (0.59 , 11.35 )	6.33 (0.00, 13.13)
D4a1e5	4.69  (1.29 , 8.16 )	4.43 (0.45, 8.51)
D4a1f	7.22  (1.58 , 13.05 )	5.68 (0.00, 13.78)
D4a1f1	6.10  (0.96 , 11.42 )	4.43 (0.00, 12.25)
D4a1g	5.66  (2.33 , 9.06 )	5.68 (2.08, 9.36)
D4a1h	3.90  (0.00 , 8.42 )	4.37 (0.00, 13.64)
D4a1i	1.55  (0.00 , 3.83 )	2.22 (0.00, 5.29)
D4a2	7.44  (2.59 , 12.45 )	7.16 (2.48, 11.97)
D4a2a	2.15  (0.26 , 4.06 )	2.81 (0.00, 6.53)
D4a2b	2.59  (0.00 , 6.24 )	3.24 (0.00, 10.02)
D4a3	14.11  (8.71 , 19.67 )	11.17 (8.21, 14.18)
D4a3a	14.11  (8.10 , 20.32 )	10.55 (6.20, 15.01)
D4a3a1	12.99  (4.36 , 22.04 )	9.66 (5.12, 14.31)
D4a3a1a	7.25  (2.36 , 12.29 )	6.94 (1.85, 12.19)
D4a3a1a1	2.80  (0.68 , 4.95 )	3.46 (0.00, 8.38)
D4a3a2'3'4	9.86  (5.92 , 13.90 )	9.26 (1.37, 17.53)
D4a3a2	7.89  (1.66 , 14.36 )	6.01 (0.00, 13.68)
D4a3a3	7.35  (2.43 , 12.43 )	7.49 (0.09, 15.23)
D4a3a3a	1.29  (0.00 , 3.09 )	1.64 (0.00, 9.11)
D4a3a3b	2.59  (0.00 , 6.01 )	2.81 (0.00, 10.67)
D4a3a4	7.22  (2.91 , 11.64 )	7.16 (0.81, 13.76)
D4a3b	10.17  (5.97 , 14.47 )	9.15 (5.48, 12.91)
D4a3b1	5.22  (2.88 , 7.58 )	5.57 (0.32, 11.00)
D4a3b1a	2.59  (0.00 , 6.24 )	2.12 (0.00, 6.14)
D4a3b2	10.45  (3.90 , 17.24 )	8.21 (4.34, 12.16)
D4a3b2a	5.35  (2.52 , 8.23 )	5.02 (2.70, 7.39)
D4a3b2a1	4.46  (0.00 , 9.27 )	3.30 (0.00, 6.70)
D4a3b2a1a	2.59  (0.00 , 5.59 )	2.33 (0.00, 5.29)
D4a3b2a2	2.59  (0.89 , 4.30 )	3.62 (0.90, 6.39)
D4a3b2b	2.91  (0.80 , 5.05 )	4.10 (0.00, 10.92)
D4a3b3	5.22  (0.10 , 10.50 )	4.10 (0.00, 9.93)
D4a3b4	1.72  (0.00 , 4.13 )	2.12 (0.00, 6.79)
